Latitude, Longitude, Altitude (m), Time, Sats, Speed (m/s), Range (m), Battery (%), Roll (deg), Pitch (deg), Yaw (deg), Images, HD Signal (%), RC Signal (%), Battery Temp (C), Battery Voltage (mV), Battery Current (mA), Battery Energy (mAh), Battery Capacity (mAh), Battery Discharges, flyState, timestamp (Unix), LastUpdate (ms), radioChannel, Rc_elevator, Rc_aileron, Rc_throttle, Rc_rudder, Rc_gyro, Dronetype, Battery_Cell1 (mV), Battery_Cell2 (mV), Battery_Cell3 (mV), Battery_Cell4 (mV), Battery_Cell5 (mV), Battery_Cell6 (mV), Video, isFlying, elapsedTime (ms), gimbalPitch (deg), gimbalRoll (deg), gimbalYaw (deg), VelocityX (m/s), VelocityY (m/s), VelocityZ (m/s), GroundSmear (cm), App Version, Aircraft Name, Aircraft Firmware, Aircraft Serial Number, Battery Firmware, Battery Serial Number, Battery Lifetime (%), App_Tip, App_Warning, CurrentFlightStartingIndex, CurrentFlightLastVisitedWaypoint, PreviousFlightEndingWaypointIndex, DJIDiagnosticError, Focal Length (m)
 40.0403300, -105.5691805, 0.000, 14:31:14.085, 16, 0.14, 0.11, 98, 1.100, -0.100, 7.800, 2, --, 96, 19, 25129, -3174, 5101, 5206, 26, 11, 1570653074.086, 56, 96, 1024, 1024, 1024, 1024, 0, Matrice 100, 4170, 4173, 4225, 4258, 4206, 4208, 0, 1, 4004, -89.900, 0.000, 9.800, 0.100, 0.100, -0.200, 0.1, MapPilot_4.0.8_100120193, Dendroctonus I, N/A, 041DDC1887, 03.10.00.00, 1058171200140, 94, OBSDK - Set Image Spacing to 630 cm / OBSDK - Set Imaging State / OBSDK - Get Image Spacing / OBSDK - Get Imaging State / FlightID: AE3A4F43-D2F3-46AF-9A70-A6FA2FF5474F / MissionID: B8D63E49-B160-40A6-9F9E-1794A38F0C83 / Photo / DJI_0001.jpg, Imaging Interval: 2s - Adjusted Speed: 3.15 m/s / Starting Mission from Lat/Long: 40.04034/-105.56924 Camera: Zenmuse X3 - Overlap: 95/90 - Active Connection: No -  Terrain: SRTM, 0, 0, 0, No Image Transmission Signal / Aircraft GPS Error,0.0036100
 40.0403302, -105.5691802, 0.000, 14:31:14.185, 14, 0.22, 0.13, 98, 0.600, 0.700, 8.000, 2, --, 96, 19, 25129, -3174, 5101, 5206, 26, 11, 1570653074.185, 63, 96, 1024, 1024, 1024, 1024, 0, , 4170, 4173, 4225, 4258, 4206, 4208, 0, 1, 4104, -89.900, 0.000, 9.800, 0.100, 0.200, -0.300, 0.1, , , , , , , 94, , , 0, 0, 0, ,0.0036100
 40.0403304, -105.5691799, 0.000, 14:31:14.285, 14, 0.22, 0.15, 98, 0.400, 1.400, 8.200, 2, --, 96, 19, 25129, -3174, 5101, 5206, 26, 11, 1570653074.286, 64, 96, 1024, 1024, 1024, 1024, 0, , 4170, 4173, 4225, 4258, 4206, 4208, 0, 1, 4205, -89.900, 0.000, 9.700, 0.100, 0.200, -0.400, 0.1, , , , , , , 94, , , 0, 0, 0, ,0.0036100
 40.0403305, -105.5691796, 0.100, 14:31:14.385, 15, 0.22, 0.18, 98, 0.100, 1.600, 8.200, 2, --, 96, 19, 25129, -3174, 5101, 5206, 26, 11, 1570653074.385, 64, 96, 1024, 1024, 1024, 1024, 0, , 4170, 4173, 4225, 4258, 4206, 4208, 0, 1, 4304, -89.900, 0.000, 9.700, 0.100, 0.200, -0.300, 0.1, , , , , , , 94, , , 0, 0, 0, ,0.0036100
 40.0403306, -105.5691793, 0.100, 14:31:14.485, 15, 0.22, 0.20, 98, -0.600, 1.700, 8.200, 2, --, 96, 19, 24148, -10827, 5101, 5206, 26, 11, 1570653074.486, 56, 96, 1024, 1024, 1024, 1024, 0, , 4170, 4173, 4225, 4258, 4206, 4208, 0, 1, 4404, -89.900, 0.000, 9.600, 0.100, 0.200, -0.300, 0.1, , , , , , , 94, , , 0, 0, 0, ,0.0036100
 40.0403308, -105.5691791, 0.100, 14:31:14.585, 14, 0.20, 0.22, 98, -1.400, 1.800, 8.200, 2, --, 99, 19, 24148, -10827, 5101, 5206, 26, 11, 1570653074.585, 53, 99, 1024, 1024, 1024, 1024, 0, , 4170, 4173, 4225, 4258, 4206, 4208, 0, 1, 4504, -89.900, 0.000, 9.600, 0.000, 0.200, -0.300, 0.1, , , , , , , 94, , , 0, 0, 0, ,0.0036100
 40.0403309, -105.5691789, 0.200, 14:31:14.685, 14, 0.20, 0.24, 98, -2.000, 1.700, 8.200, 2, --, 99, 19, 24148, -10827, 5101, 5206, 26, 11, 1570653074.686, 56, 99, 1024, 1024, 1024, 1024, 0, , 4170, 4173, 4225, 4258, 4206, 4208, 0, 1, 4605, -89.900, 0.000, 9.600, 0.000, 0.200, -0.300, 0.1, , , , , , , 94, , , 0, 0, 0, ,0.0036100
 40.0403310, -105.5691787, 0.200, 14:31:14.785, 15, 0.10, 0.26, 98, -2.400, 1.100, 8.100, 2, --, 99, 19, 24148, -10827, 5101, 5206, 26, 11, 1570653074.785, 55, 99, 1024, 1024, 1024, 1024, 0, , 4170, 4173, 4225, 4258, 4206, 4208, 0, 1, 4704, -89.900, 0.000, 9.500, 0.000, 0.100, -0.400, 0.0, , , , , , , 94, , , 0, 0, 0, ,0.0036100
 40.0403310, -105.5691785, 0.300, 14:31:14.885, 15, 0.10, 0.28, 98, -2.400, 0.800, 7.900, 2, --, 99, 19, 24148, -10827, 5101, 5206, 26, 11, 1570653074.885, 56, 99, 1024, 1024, 1024, 1024, 0, , 4170, 4173, 4225, 4258, 4206, 4208, 0, 1, 4804, -89.900, 0.000, 9.500, 0.000, 0.100, -0.400, 0.0, , , , , , , 94, , , 0, 0, 0, ,0.0036100
 40.0403311, -105.5691784, 0.300, 14:31:14.985, 14, 0.10, 0.29, 98, -2.100, 0.700, 7.800, 2, --, 99, 19, 24148, -10827, 5101, 5206, 26, 11, 1570653074.985, 47, 99, 1024, 1024, 1024, 1024, 0, , 4170, 4173, 4225, 4258, 4206, 4208, 0, 1, 4904, -90.000, 0.000, 9.500, 0.000, 0.100, -0.400, 0.0, , , , , , , 94, , , 0, 0, 0, ,0.0036100
