Wavlength (nm),Band 1,Band 2,Band 3,Band 5,Band 4
360,0.026449921,0.053320837,0.0380573,0,0.009428293
361,0.025318074,0.047796441,0.028824206,0.015108516,0.008469366
362,0.01839807,0.044593306,0.013708272,0.026147063,0.00656451
363,0.010632368,0.039604895,0.02011244,0,0.006422742
364,0.017918477,0.033194068,0.022140222,0.025463791,0.006423986
365,0.023337628,0.022168937,0.012464959,0.03082162,0.007709634
366,0.018196395,0.03037591,0.013473693,0.032247421,0.005337513
367,0.016412195,0.032399527,0.016956384,0.013524991,0.0058939
368,0.014502701,0.030450001,0.01526713,0.027621024,0.006768256
369,0.011143695,0.030371454,0.013798586,0.020890599,0.005965875
370,0.016769411,0.034086529,0.013256061,0,0.006836255
371,0.012266177,0.020812738,0.01721476,0,0.0046302
372,0.011394138,0.024608979,0.01858534,0,0.003866777
373,0.014176572,0.021543669,0.012939824,0.010997042,0.002122299
374,0.015734704,0.026951711,0.015409187,0.010576078,0.003156117
375,0.013330534,0.016985761,0.011137116,0.030524004,0.003964358
376,0.014022484,0.015885232,0.010841957,0.014192768,0.00352629
377,0.011290109,0.020329915,0.012691891,0.019273362,0.004109896
378,0.012926613,0.02183053,0.014892648,0.021392744,0.003496095
379,0.007672106,0.023192818,0.019692128,0.013143809,0.00292933
380,0.006643411,0.012723853,0.014264752,0.019095022,0.003417965
381,0.01086531,0.017580057,0.009623603,0.007372805,0.003017135
382,0.010851367,0.023080977,0.004930164,0.003590339,0.002982933
383,0.009109185,0.015412177,0.009846023,0.008091411,0.004646642
384,0.012914945,0.020697186,0.003272746,0.018012853,0.00384506
385,0.007952748,0.019806534,0.005042416,0.003259084,0.002653102
386,0.010696954,0.019107946,0.005604225,0.011297756,0.002437421
387,0.00860978,0.019606444,0.006910493,0.009948729,0.002834897
388,0.008975999,0.025850836,0.007805644,0.011571588,0.001940845
389,0.004799042,0.024986096,0.003955177,0.014839853,0.001734063
390,0.007041384,0.021927941,0.010812077,0.013523876,0.003403226
391,0.007479105,0.020517084,0.008720278,0.006203873,0.002684768
392,0.009469132,0.022111625,0.006230644,0.008530364,0.00180791
393,0.009269636,0.018685816,0.009408053,0.017322645,0.001749356
394,0.007498738,0.018280969,0.008537227,0.020955664,0.001967058
395,0.007262688,0.011369743,0.009051723,0.01796789,0.00147089
396,0.005967189,0.01215724,0.006363391,0.003841501,0.001990771
397,0.003832893,0.008239918,0.004764185,0,0.001681124
398,0.006242972,0.011864841,0.003923771,0.004342572,0.001655087
