"wavelength","reflectance"
401,0.6693
402,0.6668
403,0.668
404,0.6702
405,0.6694
406,0.6673
407,0.6651
408,0.6663
409,0.6691
410,0.6691
411,0.6692
412,0.6712
413,0.6713
414,0.6688
415,0.6671
416,0.6682
417,0.6696
418,0.6688
419,0.6676
420,0.667
421,0.6656
422,0.6626
423,0.6606
424,0.6601
425,0.6599
426,0.6588
427,0.6575
428,0.657
429,0.6561
430,0.6545
431,0.6537
432,0.6545
433,0.6549
434,0.6539
435,0.6528
436,0.6524
437,0.6521
438,0.6514
439,0.6502
440,0.649
441,0.6478
442,0.647
443,0.6469
444,0.6466
445,0.6458
446,0.6445
447,0.643
448,0.6425
449,0.643
450,0.6436
451,0.6436
452,0.6426
453,0.6417
454,0.6417
455,0.6417
456,0.6413
457,0.6411
458,0.6407
459,0.6397
460,0.6387
461,0.638
462,0.6381
463,0.6385
464,0.639
465,0.6392
466,0.6386
467,0.6381
468,0.6381
469,0.6381
470,0.638
471,0.6378
472,0.6376
473,0.6374
474,0.6372
475,0.6373
476,0.6373
477,0.6369
478,0.6361
479,0.6362
480,0.6374
481,0.6379
482,0.637
483,0.6366
484,0.6371
485,0.6379
486,0.6385
487,0.638
488,0.6371
489,0.6363
490,0.6363
491,0.6371
492,0.6373
493,0.6366
494,0.636
495,0.6358
496,0.6357
497,0.6351
498,0.6351
499,0.6358
500,0.6365
501,0.6371
502,0.6371
503,0.6369
504,0.6367
505,0.6366
506,0.6369
507,0.6373
508,0.6376
509,0.6377
510,0.6377
511,0.6375
512,0.6378
513,0.638
514,0.6372
515,0.6365
516,0.6368
517,0.6372
518,0.6373
519,0.638
520,0.6388
521,0.6387
522,0.6381
523,0.6377
524,0.6374
525,0.6373
526,0.6376
527,0.6378
528,0.6384
529,0.6387
530,0.6388
531,0.6392
532,0.639
533,0.6386
534,0.6385
535,0.639
536,0.6399
537,0.6406
538,0.641
539,0.6413
540,0.6412
541,0.6407
542,0.64
543,0.6396
544,0.6391
545,0.6389
546,0.6392
547,0.6395
548,0.6399
549,0.6406
550,0.6409
551,0.6403
552,0.6394
553,0.6399
554,0.6405
555,0.6403
556,0.6398
557,0.6401
558,0.6414
559,0.6423
560,0.642
561,0.6416
562,0.6419
563,0.6417
564,0.6414
565,0.6407
566,0.6403
567,0.6407
568,0.6411
569,0.6411
570,0.6414
571,0.6415
572,0.6414
573,0.6417
574,0.6422
575,0.6429
576,0.6431
577,0.6427
578,0.6425
579,0.6428
580,0.643
581,0.643
582,0.6431
583,0.6427
584,0.6424
585,0.6424
586,0.6423
587,0.6422
588,0.6426
589,0.6434
590,0.6443
591,0.6445
592,0.6443
593,0.6437
594,0.6427
595,0.642
596,0.6423
597,0.6427
598,0.6428
599,0.6429
600,0.6429
601,0.6434
602,0.6441
603,0.6444
604,0.644
605,0.6433
606,0.6425
607,0.6418
608,0.6422
609,0.6431
610,0.6434
611,0.643
612,0.6425
613,0.6428
614,0.6434
615,0.6437
616,0.6436
617,0.6434
618,0.6435
619,0.644
620,0.644
621,0.6437
622,0.6436
623,0.644
624,0.6439
625,0.6435
626,0.6439
627,0.6444
628,0.6444
629,0.6442
630,0.6441
631,0.6446
632,0.6447
633,0.644
634,0.6434
635,0.6431
636,0.6431
637,0.6435
638,0.6442
639,0.645
640,0.6453
641,0.6452
642,0.6448
643,0.6443
644,0.644
645,0.6443
646,0.6447
647,0.6445
648,0.6438
649,0.6425
650,0.642
651,0.6424
652,0.6424
653,0.6424
654,0.6425
655,0.6422
656,0.6422
657,0.6427
658,0.6431
659,0.6425
660,0.6418
661,0.642
662,0.6421
663,0.6411
664,0.6401
665,0.6397
666,0.6394
667,0.639
668,0.6386
669,0.6382
670,0.6379
671,0.6379
672,0.6381
673,0.6381
674,0.6374
675,0.6363
676,0.6353
677,0.635
678,0.6355
679,0.6357
680,0.6356
681,0.6357
682,0.6358
683,0.6358
684,0.6355
685,0.6347
686,0.6343
687,0.635
688,0.6361
689,0.6369
690,0.6368
691,0.6368
692,0.6365
693,0.6354
694,0.6339
695,0.6327
696,0.6328
697,0.6338
698,0.6339
699,0.6332
700,0.6333
701,0.6341
702,0.635
703,0.6354
704,0.6354
705,0.6356
706,0.6357
707,0.6359
708,0.6359
709,0.6353
710,0.6345
711,0.6338
712,0.6335
713,0.6334
714,0.6335
715,0.6346
716,0.6355
717,0.6353
718,0.635
719,0.6349
720,0.6346
721,0.6347
722,0.6344
723,0.634
724,0.6336
725,0.6343
726,0.6351
727,0.6343
728,0.6329
729,0.6326
730,0.6325
731,0.6324
732,0.6328
733,0.6328
734,0.6322
735,0.6322
736,0.6327
737,0.6322
738,0.6306
739,0.6296
740,0.6297
741,0.6291
742,0.6285
743,0.628
744,0.6271
745,0.6265
746,0.6266
747,0.6261
748,0.626
749,0.6263
750,0.6265
751,0.6267
752,0.6269
753,0.6264
754,0.6252
755,0.6242
756,0.6239
757,0.6248
758,0.6256
759,0.6245
760,0.6233
761,0.6227
762,0.622
763,0.6221
764,0.6217
765,0.6207
766,0.6197
767,0.6197
768,0.6209
769,0.6213
770,0.6197
771,0.6177
772,0.617
773,0.6176
774,0.6179
775,0.6169
776,0.6164
777,0.6169
778,0.6168
779,0.6154
780,0.6141
781,0.6135
782,0.6137
783,0.614
784,0.6136
785,0.6129
786,0.6116
787,0.6105
788,0.6101
789,0.6101
790,0.6099
791,0.609
792,0.6085
793,0.6077
794,0.606
795,0.6048
796,0.6054
797,0.606
798,0.6067
799,0.6072
800,0.606
801,0.6048
802,0.6056
803,0.6063
804,0.6066
805,0.6071
806,0.6075
807,0.6066
808,0.6043
809,0.6028
810,0.6037
811,0.6044
812,0.6036
813,0.6033
814,0.6046
815,0.6064
816,0.607
817,0.6053
818,0.6032
819,0.6022
820,0.6036
821,0.6059
822,0.6057
823,0.604
824,0.6014
825,0.5995
826,0.5992
827,0.6
828,0.6015
829,0.6036
830,0.6034
831,0.6026
832,0.6027
833,0.6021
834,0.6017
835,0.6024
836,0.6026
837,0.6022
838,0.6011
839,0.6
840,0.5999
841,0.6016
842,0.6035
843,0.6045
844,0.6044
845,0.6032
846,0.6017
847,0.6016
848,0.6023
849,0.5803
850,0.4351
851,0.1666
852,0.0215
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
