"wavelength_nm","band","transmission","qe_pct","qe","spectral_response","band_fullname","relative_spectral_response"
360,"blue",0.0264499207909077,NA,NA,NA,"blue",NA
360,"green",0.0533208370811606,NA,NA,NA,"green",NA
360,"red",0.0380572997021994,NA,NA,NA,"red",NA
360,"re",0,NA,NA,NA,"red edge",NA
360,"nir",0.0094282932416953,NA,NA,NA,"near infrared",NA
361,"blue",0.0253180742919251,NA,NA,NA,"blue",NA
361,"green",0.0477964412465361,NA,NA,NA,"green",NA
361,"red",0.0288242062175019,NA,NA,NA,"red",NA
361,"re",0.0151085161406807,NA,NA,NA,"red edge",NA
361,"nir",0.00846936624016513,NA,NA,NA,"near infrared",NA
362,"blue",0.0183980697585375,NA,NA,NA,"blue",NA
362,"green",0.0445933058335536,NA,NA,NA,"green",NA
362,"red",0.0137082722381656,NA,NA,NA,"red",NA
362,"re",0.0261470629779849,NA,NA,NA,"red edge",NA
362,"nir",0.00656450972608178,NA,NA,NA,"near infrared",NA
363,"blue",0.0106323680897333,NA,NA,NA,"blue",NA
363,"green",0.0396048949495847,NA,NA,NA,"green",NA
363,"red",0.0201124401243732,NA,NA,NA,"red",NA
363,"re",0,NA,NA,NA,"red edge",NA
363,"nir",0.0064227415168799,NA,NA,NA,"near infrared",NA
364,"blue",0.0179184769132914,NA,NA,NA,"blue",NA
364,"green",0.0331940684640702,NA,NA,NA,"green",NA
364,"red",0.0221402221522139,NA,NA,NA,"red",NA
364,"re",0.0254637908896645,NA,NA,NA,"red edge",NA
364,"nir",0.00642398649489824,NA,NA,NA,"near infrared",NA
365,"blue",0.0233376277948633,NA,NA,NA,"blue",NA
365,"green",0.0221689367908437,NA,NA,NA,"green",NA
365,"red",0.0124649586207222,NA,NA,NA,"red",NA
365,"re",0.0308216196771438,NA,NA,NA,"red edge",NA
365,"nir",0.00770963422369441,NA,NA,NA,"near infrared",NA
366,"blue",0.0181963950016587,NA,NA,NA,"blue",NA
366,"green",0.0303759099604959,NA,NA,NA,"green",NA
366,"red",0.0134736932052846,NA,NA,NA,"red",NA
366,"re",0.0322474209148147,NA,NA,NA,"red edge",NA
366,"nir",0.00533751342617668,NA,NA,NA,"near infrared",NA
367,"blue",0.0164121952870418,NA,NA,NA,"blue",NA
367,"green",0.0323995268457344,NA,NA,NA,"green",NA
367,"red",0.0169563841029389,NA,NA,NA,"red",NA
367,"re",0.0135249907864025,NA,NA,NA,"red edge",NA
367,"nir",0.0058938998968984,NA,NA,NA,"near infrared",NA
368,"blue",0.0145027008965863,NA,NA,NA,"blue",NA
368,"green",0.0304500011438768,NA,NA,NA,"green",NA
368,"red",0.0152671296673087,NA,NA,NA,"red",NA
368,"re",0.027621024326709,NA,NA,NA,"red edge",NA
368,"nir",0.00676825644696033,NA,NA,NA,"near infrared",NA
369,"blue",0.0111436950146628,NA,NA,NA,"blue",NA
369,"green",0.0303714541523814,NA,NA,NA,"green",NA
369,"red",0.0137985858332287,NA,NA,NA,"red",NA
369,"re",0.0208905989047651,NA,NA,NA,"red edge",NA
369,"nir",0.00596587483663701,NA,NA,NA,"near infrared",NA
370,"blue",0.0167694109801038,NA,NA,NA,"blue",NA
370,"green",0.0340865292984054,NA,NA,NA,"green",NA
370,"red",0.0132560607554986,NA,NA,NA,"red",NA
370,"re",0,NA,NA,NA,"red edge",NA
370,"nir",0.00683625486090338,NA,NA,NA,"near infrared",NA
371,"blue",0.0122661772814431,NA,NA,NA,"blue",NA
371,"green",0.0208127382419827,NA,NA,NA,"green",NA
371,"red",0.017214759860917,NA,NA,NA,"red",NA
371,"re",0,NA,NA,NA,"red edge",NA
371,"nir",0.00463020036858409,NA,NA,NA,"near infrared",NA
372,"blue",0.011394138259302,NA,NA,NA,"blue",NA
372,"green",0.0246089792299899,NA,NA,NA,"green",NA
372,"red",0.0185853396149423,NA,NA,NA,"red",NA
372,"re",0,NA,NA,NA,"red edge",NA
372,"nir",0.00386677690758902,NA,NA,NA,"near infrared",NA
373,"blue",0.0141765721120319,NA,NA,NA,"blue",NA
373,"green",0.0215436687171655,NA,NA,NA,"green",NA
373,"red",0.0129398235269519,NA,NA,NA,"red",NA
373,"re",0.0109970415717748,NA,NA,NA,"red edge",NA
373,"nir",0.00212229948589938,NA,NA,NA,"near infrared",NA
374,"blue",0.0157347041598321,NA,NA,NA,"blue",NA
374,"green",0.0269517105957649,NA,NA,NA,"green",NA
374,"red",0.0154091865834971,NA,NA,NA,"red",NA
374,"re",0.0105760775208023,NA,NA,NA,"red edge",NA
374,"nir",0.00315611680338962,NA,NA,NA,"near infrared",NA
375,"blue",0.0133305338843828,NA,NA,NA,"blue",NA
375,"green",0.016985760568719,NA,NA,NA,"green",NA
375,"red",0.0111371156511303,NA,NA,NA,"red",NA
375,"re",0.0305240036791456,NA,NA,NA,"red edge",NA
375,"nir",0.00396435789732684,NA,NA,NA,"near infrared",NA
376,"blue",0.0140224837014728,NA,NA,NA,"blue",NA
376,"green",0.015885232488802,NA,NA,NA,"green",NA
376,"red",0.0108419572437409,NA,NA,NA,"red",NA
376,"re",0.0141927677591766,NA,NA,NA,"red edge",NA
376,"nir",0.00352629041687893,NA,NA,NA,"near infrared",NA
377,"blue",0.0112901085392599,NA,NA,NA,"blue",NA
377,"green",0.0203299152920196,NA,NA,NA,"green",NA
377,"red",0.0126918907368944,NA,NA,NA,"red",NA
377,"re",0.0192733617401238,NA,NA,NA,"red edge",NA
377,"nir",0.0041098956737239,NA,NA,NA,"near infrared",NA
378,"blue",0.0129266134963919,NA,NA,NA,"blue",NA
378,"green",0.0218305298694639,NA,NA,NA,"green",NA
378,"red",0.0148926479742863,NA,NA,NA,"red",NA
378,"re",0.0213927435813772,NA,NA,NA,"red edge",NA
378,"nir",0.00349609457668728,NA,NA,NA,"near infrared",NA
379,"blue",0.00767210605150809,NA,NA,NA,"blue",NA
379,"green",0.0231928177080646,NA,NA,NA,"green",NA
379,"red",0.0196921275434015,NA,NA,NA,"red",NA
379,"re",0.0131438085880112,NA,NA,NA,"red edge",NA
379,"nir",0.00292933012684008,NA,NA,NA,"near infrared",NA
380,"blue",0.0066434112563128,NA,NA,NA,"blue",NA
380,"green",0.012723852927791,NA,NA,NA,"green",NA
380,"red",0.014264751795192,NA,NA,NA,"red",NA
380,"re",0.0190950224830401,NA,NA,NA,"red edge",NA
380,"nir",0.00341796450218906,NA,NA,NA,"near infrared",NA
381,"blue",0.0108653097438475,NA,NA,NA,"blue",NA
381,"green",0.0175800569212751,NA,NA,NA,"green",NA
381,"red",0.00962360260580534,NA,NA,NA,"red",NA
381,"re",0.00737280512377663,NA,NA,NA,"red edge",NA
381,"nir",0.00301713529208226,NA,NA,NA,"near infrared",NA
382,"blue",0.0108513673103173,NA,NA,NA,"blue",NA
382,"green",0.0230809765327936,NA,NA,NA,"green",NA
382,"red",0.00493016447435298,NA,NA,NA,"red",NA
382,"re",0.00359033864983518,NA,NA,NA,"red edge",NA
382,"nir",0.00298293334899979,NA,NA,NA,"near infrared",NA
383,"blue",0.00910918468252417,NA,NA,NA,"blue",NA
383,"green",0.0154121769370604,NA,NA,NA,"green",NA
383,"red",0.00984602316470692,NA,NA,NA,"red",NA
383,"re",0.00809141136551043,NA,NA,NA,"red edge",NA
383,"nir",0.0046466419944344,NA,NA,NA,"near infrared",NA
384,"blue",0.0129149448385813,NA,NA,NA,"blue",NA
384,"green",0.0206971864404842,NA,NA,NA,"green",NA
384,"red",0.00327274554564902,NA,NA,NA,"red",NA
384,"re",0.0180128531539749,NA,NA,NA,"red edge",NA
384,"nir",0.00384506037197291,NA,NA,NA,"near infrared",NA
385,"blue",0.00795274807968082,NA,NA,NA,"blue",NA
385,"green",0.0198065343829577,NA,NA,NA,"green",NA
385,"red",0.0050424157803391,NA,NA,NA,"red",NA
385,"re",0.00325908395577643,NA,NA,NA,"red edge",NA
385,"nir",0.00265310159516889,NA,NA,NA,"near infrared",NA
386,"blue",0.0106969539147737,NA,NA,NA,"blue",NA
386,"green",0.0191079459876462,NA,NA,NA,"green",NA
386,"red",0.00560422493046725,NA,NA,NA,"red",NA
386,"re",0.0112977560264487,NA,NA,NA,"red edge",NA
386,"nir",0.00243742125157497,NA,NA,NA,"near infrared",NA
387,"blue",0.00860978007923063,NA,NA,NA,"blue",NA
387,"green",0.0196064437194127,NA,NA,NA,"green",NA
