Micasense RedEdge Camera Quantum Efficiency
Wavelength_nm,QE_percent
392.00,49.160
393.00,49.705
394.00,50.249
395.00,50.794
396.00,51.338
397.00,51.883
398.00,52.426
399.00,52.956
400.00,53.485
401.00,53.758
402.00,54.021
403.00,54.285
404.00,54.548
405.00,54.812
406.00,55.075
407.00,55.339
408.00,55.602
409.00,55.866
410.00,56.144
411.00,56.470
412.00,56.797
413.00,57.124
414.00,57.451
415.00,57.778
416.00,58.124
417.00,58.513
418.00,58.903
419.00,59.293
420.00,59.683
421.00,59.947
422.00,60.140
423.00,60.334
424.00,60.527
425.00,60.720
426.00,60.913
427.00,61.107
428.00,61.300
429.00,61.493
430.00,61.686
431.00,61.880
432.00,62.045
433.00,62.192
434.00,62.340
435.00,62.488
436.00,62.636
437.00,62.784
438.00,62.931
439.00,63.079
440.00,63.227
441.00,63.375
442.00,63.523
443.00,63.670
444.00,63.818
445.00,63.982
446.00,64.147
447.00,64.312
448.00,64.477
449.00,64.643
450.00,64.808
451.00,64.973
452.00,65.213
453.00,65.483
454.00,65.744
455.00,65.961
456.00,66.177
457.00,66.393
458.00,66.609
459.00,66.825
460.00,66.991
461.00,67.133
462.00,67.274
463.00,67.416
464.00,67.557
465.00,67.699
466.00,67.840
467.00,67.982
468.00,68.123
469.00,68.265
470.00,68.369
471.00,68.436
472.00,68.503
473.00,68.570
474.00,68.637
475.00,68.703
476.00,68.770
477.00,68.837
478.00,68.903
479.00,68.960
480.00,69.016
481.00,69.072
482.00,69.129
483.00,69.185
484.00,69.241
485.00,69.298
486.00,69.354
487.00,69.414
488.00,69.500
489.00,69.586
490.00,69.672
491.00,69.758
492.00,69.844
493.00,69.930
494.00,70.015
495.00,70.101
496.00,70.187
497.00,70.273
498.00,70.359
499.00,70.445
500.00,70.531
501.00,70.566
502.00,70.601
503.00,70.636
504.00,70.670
505.00,70.705
506.00,70.740
507.00,70.775
508.00,70.797
509.00,70.815
510.00,70.834
511.00,70.852
512.00,70.871
513.00,70.889
514.00,70.907
515.00,70.926
516.00,70.944
517.00,70.963
518.00,70.973
519.00,70.979
520.00,70.984
521.00,70.990
522.00,70.996
523.00,71.001
524.00,71.007
525.00,71.013
526.00,71.018
527.00,71.024
528.00,71.030
529.00,71.029
530.00,71.004
531.00,70.979
532.00,70.915
533.00,70.830
534.00,70.745
535.00,70.660
536.00,70.575
537.00,70.490
538.00,70.405
539.00,70.320
540.00,70.235
541.00,70.150
542.00,70.065
543.00,69.963
544.00,69.853
545.00,69.742
546.00,69.631
547.00,69.520
548.00,69.409
549.00,69.298
550.00,69.188
551.00,69.086
552.00,69.034
553.00,68.981
554.00,68.929
555.00,68.876
556.00,68.823
557.00,68.769
558.00,68.710
559.00,68.651
560.00,68.592
561.00,68.533
562.00,68.489
563.00,68.444
564.00,68.400
565.00,68.355
566.00,68.345
567.00,68.345
568.00,68.346
569.00,68.346
570.00,68.346
571.00,68.346
572.00,68.296
573.00,68.179
574.00,68.061
575.00,67.944
576.00,67.826
577.00,67.708
578.00,67.589
579.00,67.437
580.00,67.285
581.00,67.134
582.00,66.982
583.00,66.830
584.00,66.678
585.00,66.526
586.00,66.375
587.00,66.223
588.00,66.071
589.00,65.919
590.00,65.767
591.00,65.616
592.00,65.464
593.00,65.312
594.00,65.154
595.00,64.995
596.00,64.836
597.00,64.677
598.00,64.517
599.00,64.358
600.00,64.199
601.00,64.040
602.00,63.881
603.00,63.721
604.00,63.562
605.00,63.403
606.00,63.244
